Participant ID,Time,Trial Number,Bounce Number,Apex Height,Apex-Target Distance,Apex In Target Area?,Paddle height at hit,Paddle velocity at hit,Paddle acceleration at hit
1,95.57001,14,11,1.671396,0.3576735,NO,1.347128,0.7418266,-10.39534
1,96.297,14,12,1.996949,0.6832269,NO,1.238227,1.186345,-0.8998455
1,96.79,14,13,1.668727,0.3550048,NO,1.347744,0.7327911,2.82946
1,97.33601,14,14,1.732785,0.4190627,NO,1.280361,0.900282,-7.393551
1,97.81801,14,15,1.636232,0.3225105,NO,1.346731,0.6948451,0.8286916
1,98.34801,14,16,1.679533,0.3658112,NO,1.246841,0.8795806,-4.051069
1,98.84601,14,17,1.648651,0.3349286,NO,1.313553,0.7129583,-4.577713
1,99.397,14,18,1.719169,0.4054469,NO,1.266525,0.8995675,-6.403227
1,99.94,14,19,1.718059,0.4043368,NO,1.31913,0.8041486,-6.235691
1,100.443,14,20,1.653864,0.3401418,NO,1.290907,0.792532,-1.315736
1,100.889,14,21,1.563158,0.2494361,NO,1.293119,0.6587029,-4.315009
1,101.386,14,22,1.618097,0.3043748,NO,1.238204,0.8259596,-6.468102
1,101.934,14,23,1.701251,0.3875293,NO,1.283167,0.8606809,-8.568557
1,102.402,14,24,1.597044,0.2833219,NO,1.274576,0.7011205,-5.119292
1,102.911,14,25,1.655945,0.3422233,NO,1.281745,0.8151333,-3.605621
1,103.446,14,26,1.69506,0.3813385,NO,1.295525,0.8426583,-3.780275
1,103.909,14,27,1.596036,0.2823142,NO,1.285818,0.7168986,-5.79687
1,104.562,14,28,1.8757,0.5619775,NO,1.274447,1.063367,11.26891
1,105.153,14,29,1.827996,0.5142742,NO,1.327475,0.9523047,-11.88838
1,105.658,14,30,1.692452,0.3787304,NO,1.362088,0.7845118,1.175993
1,106.241,14,31,1.759223,0.4455011,NO,1.294616,0.9211864,0.4228579
1,106.645,14,32,1.528053,0.2143314,NO,1.289244,0.614875,1.317686
1,107.184,14,33,1.685886,0.3721637,NO,1.254763,0.87383,9.222251
1,107.62,14,34,1.554487,0.2407647,NO,1.297196,0.6965868,-4.217796
1,108.129,14,35,1.633216,0.3194941,NO,1.24309,0.8897657,2.917053
1,108.702,14,36,1.731062,0.4173404,NO,1.286358,0.8899153,-10.92168
1,109.187,14,37,1.60693,0.2932078,NO,1.26118,0.7669649,-3.981555
1,109.838,14,38,1.836049,0.5223269,NO,1.276756,1.015295,1.894049
1,110.538,14,39,1.911199,0.5974768,NO,1.264448,1.103019,6.692183
1,110.958,14,40,1.518321,0.2045989,NO,1.268814,0.6523543,3.228591
1,111.514,14,41,1.687709,0.3739872,NO,1.241901,0.8908162,2.378154
1,112.112,14,42,1.778813,0.4650908,NO,1.2668,0.9746542,-1.31755
1,112.661,14,43,1.704468,0.3907462,NO,1.311087,0.9420081,21.79276
1,113.812,14,44,1.699169,0.3854474,NO,1.262036,0.9066221,7.582222
1,115.431,15,1,1.476066,0.1623443,NO,1.292452,0.3433578,3.69706
1,117.152,15,2,1.27334,0.04038179,YES,1.153488,1.442412,-12.45592
1,129.092,16,1,1.514318,0.2005965,NO,1.347406,0.4155482,1.406591
1,130.84,17,1,1.790387,0.4766648,NO,1.370646,0.8859447,-1.114306
1,131.372,17,2,1.749909,0.436187,NO,1.323253,0.8601099,8.68745
1,132.024,17,3,1.984912,0.67119,NO,1.369138,1.084925,-3.049295
1,132.532,17,4,1.728434,0.4147123,NO,1.443107,0.6055503,2.11558
1,133.196,17,5,1.89541,0.581688,NO,1.257333,1.104553,1.896116
1,133.779,17,6,1.772003,0.4582809,NO,1.344607,0.7559701,-4.563187
1,134.32,17,7,1.702988,0.3892658,NO,1.259101,1.017633,11.4341
1,134.889,17,8,1.769053,0.4553306,NO,1.315629,0.9123167,2.987227
1,135.355,17,9,1.629719,0.3159974,NO,1.320237,0.7252268,-5.562709
1,136.038,17,10,1.900321,0.5865991,NO,1.298344,1.003281,-7.677762
1,136.647,17,11,1.791414,0.4776921,NO,1.24912,1.052714,-7.229654
1,137.224,17,12,1.761464,0.4477415,NO,1.316436,0.8923528,3.200057
1,137.785,17,13,1.736354,0.4226317,NO,1.280967,0.9046,3.134132
1,138.307,17,14,1.687655,0.3739334,NO,1.315872,0.8131195,-4.765877
1,138.747,17,15,1.562862,0.2491403,NO,1.282766,0.6724176,-4.729912
1,139.32,17,16,1.703661,0.3899388,NO,1.253756,0.9010521,1.609451
1,140.786,17,17,1.353787,0.04006469,YES,1.257601,0.7600736,-0.8389368
1,142.528,18,1,1.765258,0.4515363,NO,1.389604,0.7246382,-1.412404
1,145.98,18,2,1.869967,0.5562449,NO,1.260651,1.078405,-6.432751
1,154.703,20,1,1.86193,0.5482076,NO,1.407169,0.9078256,12.5828
1,156.343,21,1,1.644396,0.3306739,NO,1.396899,0.6206256,-0.6445363
1,156.894,21,2,1.70935,0.3956276,NO,1.257506,0.9006178,2.683425
1,157.708,21,3,2.203425,0.8897027,NO,1.314263,1.310745,-11.87824
1,158.342,21,4,1.901932,0.5882099,NO,1.368216,0.9874521,-2.796608
1,158.926,21,5,1.802051,0.4883286,NO,1.348613,0.924068,10.28046
1,159.372,21,6,1.590425,0.2767028,NO,1.313174,0.6828569,9.341892
1,159.802,21,7,1.536208,0.2224861,NO,1.270928,0.6518067,-5.617564
1,160.295,21,8,1.608311,0.2945892,NO,1.235303,0.8021998,-4.982514
1,160.869,21,9,1.774509,0.4607871,NO,1.273772,0.9761998,-3.187183
