Participant ID,Condition,Visit,Timestamp,Ball Position X,Ball Position Y,Ball Position Z,Paddle Velocity,Paddle Acceleration
,TARGETLINE,TARGETLINE,TRANSFER,16.322,0,0,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.323,0,-0.009810001,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.324,0,-0.01962,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.325,0,-0.02943,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.326,0,-0.03924,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.327,0,-0.04905,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.328,0,-0.05886,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.329,0,-0.06867,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.33,0,-0.07848001,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.331,0,-0.08829001,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.332,0,-0.09810001,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.333,0,-0.10791,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.334,0,-0.11772,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.335,0,-0.12753,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.336,0,-0.13734,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.337,0,-0.14715,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.338,0,-0.15696,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.339,0,-0.16677,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.34,0,-0.17658,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.341,0,-0.18639,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.342,0,-0.1962,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.343,0,-0.20601,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.344,0,-0.21582,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.345,0,-0.22563,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.346,0,-0.23544,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.347,0,-0.24525,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.348,0,-0.25506,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.349,0,-0.26487,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.35,0,-0.27468,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.351,0,-0.28449,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.352,0,-0.2943,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.353,0,-0.30411,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.354,0,-0.31392,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.355,0,-0.32373,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.356,0,-0.33354,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.357,0,-0.34335,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.358,0,-0.35316,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.359,0,-0.36297,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.36,0,-0.37278,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.361,0,-0.38259,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.362,0,-0.3924,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.363,0,-0.40221,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.364,0,-0.41202,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.365,0,-0.42183,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.366,0,-0.43164,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.367,0,-0.44145,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.368,0,-0.45126,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.369,0,-0.46107,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.37,0,-0.47088,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.371,0,-0.48069,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.372,0,-0.4905,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.373,0,-0.5003101,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.374,0,-0.51012,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.375,0,-0.51993,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.376,0,-0.52974,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.377,0,-0.5395499,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.378,0,-0.5493599,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.379,0,-0.5591699,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.38,0,-0.5689799,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.381,0,-0.5787898,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.382,0,-0.5885998,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.383,0,-0.5984098,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.384,0,-0.6082197,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.385,0,-0.6180297,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.386,0,-0.6278397,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.387,0,-0.6376497,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.388,0,-0.6474596,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.389,0,-0.6572696,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.39,0,-0.6670796,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.391,0,-0.6768895,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.392,0,-0.6866995,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.393,0,-0.6965095,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.394,0,-0.7063195,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.395,0,-0.7161294,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.396,0,-0.7259394,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.397,0,-0.7357494,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.398,0,-0.7455593,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.399,0,-0.7553693,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.4,0,-0.7651793,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.401,0,-0.7749892,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.402,0,-0.7847992,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.403,0,-0.7946092,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.404,0,-0.8044192,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.405,0,-0.8142291,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.406,0,-0.8240391,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.407,0,-0.8338491,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.408,0,-0.843659,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.409,0,-0.853469,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.41,0,-0.863279,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.411,0,-0.873089,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.412,0,-0.8828989,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.413,0,-0.8927089,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.414,0,-0.9025189,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.415,0,-0.9123288,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.416,0,-0.9221388,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.417,0,-0.9319488,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.418,0,-0.9417588,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.419,0,-0.9515687,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.42,0,-0.9613787,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.421,0,-0.9711887,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.422,0,-0.9809986,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.423,0,-0.9908086,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.424,0,-1.000619,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.425,0,-1.010429,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.426,0,-1.020239,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.427,0,-1.030048,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.428,0,-1.039858,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.429,0,-1.049668,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.43,0,-1.059478,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.431,0,-1.069288,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.432,0,-1.079098,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.433,0,-1.088908,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.434,0,-1.098718,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.435,0,-1.108528,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.436,0,-1.118338,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.437,0,-1.128148,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.438,0,-1.137958,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.439,0,-1.147768,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.44,0,-1.157578,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.441,0,-1.167388,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.442,0,-1.177198,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.443,0,-1.187008,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.444,0,-1.196818,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.445,0,-1.206628,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.446,0,-1.216438,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.447,0,-1.226248,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.448,0,-1.236058,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.449,0,-1.245868,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.45,0,-1.255678,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.451,0,-1.265488,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.452,0,-1.275298,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.453,0,-1.285108,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.454,0,-1.294918,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.455,0,-1.304728,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.456,0,-1.314538,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.457,0,-1.324348,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.458,0,-1.334158,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.459,0,-1.343968,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.46,0,-1.353778,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.461,0,-1.363587,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.462,0,-1.373397,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.463,0,-1.383207,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.464,0,-1.393017,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.465,0,-1.402827,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.466,0,-1.412637,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.467,0,-1.422447,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.468,0,-1.432257,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.469,0,-1.442067,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.47,0,-1.451877,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.471,0,-1.461687,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.472,0,-1.471497,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.473,0,-1.481307,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.474,0,-1.491117,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.475,0,-1.500927,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.476,0,-1.510737,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.477,0,-1.520547,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.478,0,-1.530357,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.479,0,-1.540167,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.48,0,-1.549977,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.481,0,-1.559787,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.482,0,-1.569597,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.483,0,-1.579407,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.484,0,-1.589217,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.485,0,-1.599027,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.486,0,-1.608837,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.487,0,-1.618647,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.488,0,-1.628457,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.489,0,-1.638267,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.49,0,-1.648077,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.491,0,-1.657887,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.492,0,-1.667697,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.493,0,-1.677507,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.494,0,-1.687317,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.495,0,-1.697127,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.496,0,-1.706936,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.497,0,-1.716746,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.498,0,-1.726556,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.499,0,-1.736366,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.5,0,-1.746176,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.501,0,-1.755986,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.502,0,-1.765796,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.503,0,-1.775606,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.504,0,-1.785416,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.505,0,-1.795226,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.506,0,-1.805036,0,0,0
,TARGETLINE,TARGETLINE,TRANSFER,16.507,0,-1.814846,0,0,0
