Participant ID,Time,Trial Number,Bounce Number,Apex Height,Apex-Target Distance,Apex In Target Area?,Paddle height at hit,Paddle velocity at hit,Paddle acceleration at hit,Target Height,Bounce Modification Vector X,Bounce Modification Vector Y,Bounce Modification Vector Z
0,64.53522,12,3,1.651955,1.109542,NO,1.137336,1.785377,46.57249,0.542413,0,0,0
0,65.33522,12,4,1.727494,1.185081,NO,1.003546,1.021264,22.89399,0.542413,0,0,0
0,66.25607,12,5,1.152655,0.6102418,NO,1.108298,1.505394,-27.34818,0.542413,0,0,0
0,66.97967,13,1,1.434477,0.8920642,NO,1.07988,0.832945,4.317533,0.542413,0,0,0
0,67.65745,13,2,1.466341,0.9239279,NO,1.022176,0.362652,-2.497016,0.542413,0,0,0
0,68.63368,13,3,1.263626,0.721213,NO,1.023808,1.037228,2.470721,0.542413,0,0,0
0,69.44633,14,1,1.471561,0.929148,NO,1.075788,2.462888,110.219,0.542413,0,0,0
0,69.90189,14,2,1.355713,0.8132995,NO,1.102211,1.751269,53.12751,0.542413,0,0,0
0,71.20213,14,3,1.30675,0.7643369,NO,1.04064,0.5785558,-9.447201,0.542413,0,0,0
0,71.87967,15,1,1.40491,0.8624973,NO,1.095639,1.219971,49.58345,0.542413,0,0,0
0,73.1235,15,2,1.379327,0.8369137,NO,1.008726,0.3592377,-6.062696,0.542413,0,0,0
0,73.84634,16,1,1.483178,0.9407647,NO,1.096989,0.5190993,-10.89468,0.542413,0,0,0
0,75.11072,16,2,1.095549,0.5531361,NO,1.097345,0.8945543,11.48337,0.542413,0,0,0
0,85.20955,18,1,1.773324,1.230911,NO,1.021766,1.539832,83.016,0.542413,0,0,0
0,86.29396,19,1,1.252068,0.7096554,NO,1.043145,0.9181534,-13.21231,0.542413,0,0,0
0,87.34379,20,1,0.6051937,0.06278074,NO,1.073377,7.174445,516.0012,0.542413,0,0,0
0,89.44337,21,1,1.097422,0.555009,NO,1.025079,1.284554,39.70029,0.542413,0,0,0
0,91.24075,22,1,1.636622,1.094209,NO,1.040401,1.080218,15.82722,0.542413,0,0,0
0,91.913,23,1,1.451551,0.909138,NO,1.056652,0.3125153,-19.54755,0.542413,0,0,0
0,92.44633,23,2,1.393925,0.8515117,NO,1.070434,0.8233027,23.19506,0.542413,0,0,0
0,93.20189,23,3,1.666337,1.123924,NO,1.019429,0.6173654,-3.368861,0.542413,0,0,0
0,94.80346,23,4,2.184156,1.641743,NO,1.044771,1.27082,19.24482,0.542413,0,0,0
0,95.52412,24,1,1.469409,0.9269956,NO,1.08498,0.7337323,2.245059,0.542413,0,0,0
0,96.19078,24,2,1.522992,0.9805787,NO,1.035944,0.4412564,4.527214,0.542413,0,0,0
0,97.66302,24,3,1.486661,0.9442482,NO,1.010573,0.4168637,-60.39,0.542413,0,0,0
0,98.47967,25,1,1.64593,1.103517,NO,1.06313,0.8160232,-6.105049,0.542413,0,0,0
0,98.96856,25,2,1.423397,0.8809841,NO,1.153278,0.8669643,-10.64792,0.542413,0,0,0
0,101.0391,25,3,2.185266,1.642853,NO,1.03777,0.4796111,-34.62772,0.542413,0,0,0
0,101.8241,26,1,1.523227,0.9808137,NO,1.050173,0.9816946,67.83168,0.542413,0,0,0
0,102.4463,26,2,1.172377,0.629964,NO,1.103052,0.7502769,-29.66924,0.542413,0,0,0
0,103.3352,26,3,1.99627,1.453857,NO,1.066279,1.217469,26.27972,0.542413,0,0,0
0,103.9575,26,4,1.363676,0.8212628,NO,1.059417,0.5991514,1.995677,0.542413,0,0,0
0,104.8227,26,5,1.221246,0.6788331,NO,1.143283,1.79119,58.78647,0.542413,0,0,0
0,105.4686,27,1,1.321419,0.7790061,NO,1.026323,1.203015,39.38099,0.542413,0,0,0
0,106.113,27,2,1.4865,0.9440866,NO,1.0452,0.9483129,35.07232,0.542413,0,0,0
0,107.2889,27,3,1.116782,0.5743693,NO,0.9787078,0.6850934,0.3855889,0.542413,0,0,0
0,109.5365,28,1,1.634706,1.092293,NO,1.046319,0.5949097,-0.8862916,0.542413,0,0,0
0,110.3019,29,1,1.503886,0.9614735,NO,1.041722,0.8032233,6.660594,0.542413,0,0,0
0,111.1785,29,2,0.9671074,0.4246944,NO,1.08331,1.366533,13.58774,0.542413,0,0,0
0,111.9241,30,1,1.396258,0.8538448,NO,1.097815,1.992115,62.30788,0.542413,0,0,0
0,112.6463,30,2,1.636216,1.093803,NO,1.020077,0.1565223,-16.17244,0.542413,0,0,0
0,113.5129,30,3,1.156372,0.6139594,NO,1.037379,0.9853076,3.103148,0.542413,0,0,0
0,114.5241,31,1,1.793325,1.250912,NO,1.057369,0.3389529,-14.16274,0.542413,0,0,0
0,115.6587,31,2,1.686895,1.144482,NO,0.9899528,0.3531739,0.9936327,0.542413,0,0,0
0,116.2463,32,1,1.29134,0.7489268,NO,1.062894,1.166553,19.20298,0.542413,0,0,0
0,116.8352,32,2,1.478526,0.9361134,NO,1.060581,1.419475,18.77069,0.542413,0,0,0
0,192.57,32,3,1.011612,0.4691992,NO,1.000463,0.3500086,-18.77427,0.542413,0,0,0
