Participant ID,Time,Trial Number,Bounce Number,Apex Height,Apex-Target Distance,Apex In Target Area?,Paddle height at hit,Paddle velocity at hit,Paddle acceleration at hit,Target Height,Bounce Modification Vector X,Bounce Modification Vector Y,Bounce Modification Vector Z
0,28.67967,1,1,1.468568,0.926155,NO,1.101695,0.545558,-14.4347,0.542413,0,0,0
0,29.12411,1,2,1.330688,0.788275,NO,1.035388,0.6826414,-18.55951,0.542413,0,0,0
0,29.55745,1,3,1.313043,0.7706295,NO,1.064844,0.2361756,-8.235668,0.542413,0,0,0
0,30.09078,1,4,1.384655,0.8422419,NO,1.041207,0.8610935,16.47035,0.542413,0,0,0
0,31.13935,1,5,0.9109311,0.3685181,NO,1.094367,2.0381,29.70999,0.542413,0,0,0
0,31.70189,2,1,1.285926,0.7435132,NO,1.047157,0.6022061,6.757139,0.542413,0,0,0
0,31.97967,2,2,1.13712,0.5947067,NO,1.082204,0.6234747,13.10264,0.542413,0,0,0
0,32.313,2,3,1.219919,0.677506,NO,1.070779,0.1984859,1.303759,0.542413,0,0,0
0,32.66856,2,4,1.200685,0.6582716,NO,0.9958131,0.6302874,-16.10896,0.542413,0,0,0
0,32.90189,2,5,1.199943,0.6575296,NO,1.030219,0.4841178,0.07590963,0.542413,0,0,0
0,33.50189,2,6,1.445323,0.9029105,NO,1.121933,0.5187551,-7.79037,0.542413,0,0,0
0,34.79984,2,7,1.841226,1.298813,NO,1.017433,2.328347,16.69927,0.542413,0,0,0
0,35.43522,3,1,1.44477,0.9023567,NO,1.083014,0.9383151,3.467461,0.542413,0,0,0
0,36.15744,3,2,1.508783,0.9663696,NO,1.030772,0.3128399,3.543154,0.542413,0,0,0
0,36.57967,3,3,1.301093,0.7586795,NO,1.032714,0.6380455,-2.012384,0.542413,0,0,0
0,37.12411,3,4,1.418688,0.8762751,NO,1.078156,1.71398,54.79098,0.542413,0,0,0
0,38.62104,3,5,0.9686617,0.4262487,NO,1.011455,1.045867,8.646482,0.542413,0,0,0
0,39.42411,4,1,1.451806,0.9093927,NO,1.061319,1.48287,43.06776,0.542413,0,0,0
0,41.01085,4,2,1.772833,1.23042,NO,1.093717,0.5083004,-4.822193,0.542413,0,0,0
0,41.86856,5,1,1.636748,1.094335,NO,1.036158,1.567685,52.85421,0.542413,0,0,0
0,42.49078,5,2,1.563493,1.02108,NO,1.093415,0.6170754,-14.47297,0.542413,0,0,0
0,43.50171,5,3,1.243645,0.7012321,NO,1.08552,0.7451047,-1.219849,0.542413,0,0,0
0,45.90297,6,1,2.032904,1.490491,NO,1.073944,2.750222,118.0666,0.542413,0,0,0
0,46.62411,7,1,1.407564,0.8651512,NO,1.06611,0.7904531,5.211488,0.542413,0,0,0
0,47.14634,7,2,1.444057,0.9016443,NO,1.158388,2.108364,49.83071,0.542413,0,0,0
0,48.65397,7,3,1.538848,0.9964347,NO,1.010277,0.840039,23.31299,0.542413,0,0,0
0,49.22411,8,1,1.339645,0.7972323,NO,1.084779,0.9803868,1.616403,0.542413,0,0,0
0,50.59831,8,2,1.443323,0.9009101,NO,1.078765,0.8566135,-15.10974,0.542413,0,0,0
0,51.19078,9,1,1.334123,0.7917097,NO,1.076742,0.4470073,-5.852119,0.542413,0,0,0
0,51.75745,9,2,1.438945,0.8965323,NO,1.078866,0.4251659,0.4541506,0.542413,0,0,0
0,52.74913,9,3,1.259878,0.7174646,NO,1.088349,1.37593,8.271102,0.542413,0,0,0
0,53.45745,10,1,1.406203,0.8637896,NO,1.038051,0.8981293,23.78136,0.542413,0,0,0
0,55.09797,10,2,1.716165,1.173752,NO,1.0543,0.3850614,0.271886,0.542413,0,0,0
0,55.82411,11,1,1.438655,0.8962425,NO,1.043453,0.9734998,27.2818,0.542413,0,0,0
0,56.29078,11,2,1.361633,0.8192196,NO,1.122096,0.7860356,-5.650115,0.542413,0,0,0
0,56.97967,11,3,1.530238,0.9878252,NO,1.041758,0.4787976,7.510769,0.542413,0,0,0
0,57.52411,11,4,1.386918,0.8445051,NO,1.020049,1.33133,45.36641,0.542413,0,0,0
0,62.55707,11,5,1.339373,0.7969601,NO,1.014116,0.5127355,-13.42479,0.542413,0,0,0
0,63.213,12,1,1.428015,0.8856018,NO,1.098794,1.375722,48.80825,0.542413,0,0,0
0,63.85744,12,2,1.45188,0.9094667,NO,1.089067,0.3338127,0.9009632,0.542413,0,0,0
