Participant ID,Time,Trial Number,Bounce Number,Apex Height,Apex-Target Distance,Apex In Target Area?,Paddle height at hit,Paddle velocity at hit,Paddle acceleration at hit
DL,143.586,13,24,1.281336,0.09981847,NO,1.006392,0.3460857,-10.70515
DL,144.136,13,25,1.419575,0.03842068,YES,0.9555422,0.5823744,-1.61779
DL,144.835,13,26,1.680958,0.2998031,NO,1.032278,0.7812363,2.953068
DL,145.395,13,27,1.45993,0.07877564,NO,1.015466,0.5726575,-1.432469
DL,145.896,13,28,1.387285,0.006130099,YES,1.020113,0.4358666,8.464699
DL,146.532,13,29,1.603425,0.2222704,NO,1.028666,0.7094949,-0.04063389
DL,147.085,13,30,1.478877,0.09772182,NO,1.065793,0.5242035,-0.3560293
DL,147.717,13,31,1.599246,0.2180908,NO,1.024282,0.5867843,0.8368895
DL,148.312,13,32,1.553916,0.172761,NO,1.083815,0.5997744,-2.701768
DL,148.923,13,33,1.570959,0.1898041,NO,1.044479,0.7289556,14.8134
DL,149.401,13,34,1.377073,0.004082084,YES,1.075307,0.3853177,3.796157
DL,149.976,13,35,1.498896,0.1177409,NO,1.010612,0.6156089,-2.866794
DL,150.531,13,36,1.469834,0.08867967,NO,1.070553,0.5371388,2.866019
DL,151.04,13,37,1.410165,0.02901065,YES,1.010791,0.5228686,5.320182
DL,151.676,13,38,1.603652,0.2224976,NO,1.06417,0.6754578,-5.628712
DL,152.239,13,39,1.504873,0.1237179,NO,1.037812,0.5897291,2.638453
DL,152.717,13,40,1.382585,0.001430154,YES,1.084635,0.3776504,3.50235
DL,153.457,13,41,1.780232,0.3990773,NO,1.012395,0.8893678,-5.685764
DL,153.978,13,42,1.457706,0.07655132,NO,1.093324,0.4751493,-2.688378
DL,154.654,13,43,1.686535,0.3053801,NO,1.048254,0.7728878,-0.9991311
DL,155.133,13,44,1.394492,0.01333749,YES,1.108456,0.3895864,2.411283
DL,155.745,13,45,1.571223,0.190068,NO,1.012,0.6935937,1.072422
DL,156.344,13,46,1.56039,0.1792352,NO,1.10154,0.6059528,11.1798
DL,156.903,13,47,1.494516,0.1133616,NO,1.033725,0.5970958,0.7159106
DL,157.462,13,48,1.48519,0.1040353,NO,1.080924,0.5251496,2.213489
DL,158.004,13,49,1.457645,0.07648981,NO,1.017774,0.5633803,-1.902672
DL,158.539,13,50,1.46744,0.08628511,NO,1.075886,0.4521027,-1.652632
DL,159.062,13,51,1.452092,0.07093728,NO,1.053763,0.5158355,0.08265173
DL,159.628,13,52,1.504678,0.123523,NO,1.076084,0.5531106,-3.008785
DL,160.186,13,53,1.508398,0.1272434,NO,1.043094,0.5982549,0.6078026
DL,160.798,13,54,1.590948,0.2097937,NO,1.104271,0.6299288,10.63969
DL,161.506,13,55,1.544372,0.1632171,NO,1.048733,0.6491165,-0.0336603
DL,161.945,13,56,1.391422,0.01026714,YES,1.147087,0.3281215,-6.250117
DL,162.56,13,57,1.600298,0.2191428,NO,1.051857,0.6947507,-0.6309388
DL,163.013,13,58,1.357023,0.02413213,YES,1.107583,0.3028722,3.593148
DL,164.071,13,59,1.885107,0.503952,NO,0.9860907,0.9141477,-2.525617
DL,244.2957,13,60,1.280799,0.1003557,NO,1.021942,0.3232388,-0.1654402
